 COUNTY ,LUMBER,Unnamed: 2,PAPER,Unnamed: 4,CARDBOARD,Unnamed: 6,GREEN,Unnamed: 8,FOOD,Unnamed: 10,FOG,Unnamed: 12,OTHER,Unnamed: 14
 Scenario ,Baseline,High Recycle,Baseline,High Recycle,Baseline,High Recycle,Baseline,High Recycle,Baseline,High Recycle,Baseline,High Recycle,Baseline,High Recycle
 Alameda ," 147,821 "," 78,138 "," 127,884 "," 95,913 "," 33,169 "," 30,789 "," 94,768 "," 70,405 "," 43,944 "," 28,826 ", 156 , 102 ," 93,735 "," 71,130 "
 Alpine , 114 , 98 , 161 , 120 , 42 , 39 , 119 , 88 , 55 , 36 , 0 , 0 , 119 , 90 
 Amador ," 3,436 "," 1,815 "," 2,971 "," 2,228 ", 771 , 715 ," 2,202 "," 1,636 "," 1,021 ", 670 , 4 , 2 ," 2,177 "," 1,652 "
 Butte ," 20,819 "," 12,336 "," 20,190 "," 15,143 "," 5,237 "," 4,861 "," 14,962 "," 11,116 "," 6,938 "," 4,551 ", 22 , 14 ," 14,868 "," 11,283 "
 Calaveras ," 4,302 "," 2,184 "," 3,574 "," 2,681 ", 927 , 860 ," 2,649 "," 1,968 "," 1,228 ", 806 , 5 , 3 ," 2,591 "," 1,966 "
 Colusa ," 2,134 "," 1,461 "," 2,391 "," 1,793 ", 620 , 576 ," 1,772 "," 1,316 ", 822 , 539 , 2 , 1 ," 1,720 "," 1,305 "
 Contra Costa ," 102,511 "," 48,369 "," 79,163 "," 59,372 "," 20,532 "," 19,059 "," 58,663 "," 43,582 "," 27,202 "," 17,844 ", 108 , 71 ," 58,003 "," 44,015 "
 Del Norte ," 2,561 "," 1,128 "," 1,846 "," 1,385 ", 479 , 444 ," 1,368 "," 1,016 ", 634 , 416 , 3 , 2 ," 1,387 "," 1,052 "
 El Dorado ," 16,769 "," 9,442 "," 15,453 "," 11,590 "," 4,008 "," 3,721 "," 11,452 "," 8,508 "," 5,310 "," 3,483 ", 18 , 12 ," 11,492 "," 8,720 "
 Fresno ," 92,708 "," 51,653 "," 84,538 "," 63,404 "," 21,926 "," 20,353 "," 62,647 "," 46,541 "," 29,049 "," 19,055 ", 98 , 64 ," 60,903 "," 46,215 "
 Glenn ," 2,677 "," 1,391 "," 2,277 "," 1,708 ", 591 , 548 ," 1,688 "," 1,254 ", 783 , 513 , 3 , 2 ," 1,676 "," 1,272 "
 Humboldt ," 12,216 "," 5,264 "," 8,616 "," 6,462 "," 2,235 "," 2,074 "," 6,385 "," 4,743 "," 2,961 "," 1,942 ", 13 , 8 ," 6,502 "," 4,934 "
 Imperial ," 18,625 "," 14,299 "," 23,403 "," 17,552 "," 6,070 "," 5,634 "," 17,343 "," 12,884 "," 8,042 "," 5,275 ", 20 , 13 ," 16,217 "," 12,306 "
 Inyo ," 1,724 "," 1,200 "," 1,964 "," 1,473 ", 509 , 473 ," 1,456 "," 1,081 ", 675 , 443 , 2 , 1 ," 1,479 "," 1,122 "
 Kern ," 86,971 "," 58,454 "," 95,668 "," 71,751 "," 24,813 "," 23,033 "," 70,894 "," 52,669 "," 32,874 "," 21,564 ", 92 , 60 ," 67,361 "," 51,116 "
 Kings ," 14,714 "," 6,632 "," 10,854 "," 8,141 "," 2,815 "," 2,613 "," 8,043 "," 5,976 "," 3,730 "," 2,447 ", 16 , 10 ," 7,792 "," 5,913 "
 Lake ," 6,211 "," 2,609 "," 4,270 "," 3,202 "," 1,107 "," 1,028 "," 3,164 "," 2,351 "," 1,467 ", 962 , 7 , 4 ," 3,092 "," 2,347 "
 Lassen ," 3,197 "," 1,324 "," 2,167 "," 1,625 ", 562 , 522 ," 1,606 "," 1,193 ", 744 , 488 , 3 , 2 ," 1,609 "," 1,221 "
 Los Angeles ," 916,969 "," 576,647 "," 943,767 "," 707,825 "," 244,782 "," 227,222 "," 699,373 "," 519,578 "," 324,300 "," 212,729 ", 969 , 636 ," 704,039 "," 534,253 "
 Madera ," 15,214 "," 8,064 "," 13,198 "," 9,899 "," 3,423 "," 3,178 "," 9,780 "," 7,266 "," 4,535 "," 2,975 ", 16 , 11 ," 9,351 "," 7,096 "
 Marin ," 22,827 "," 11,625 "," 19,026 "," 14,270 "," 4,935 "," 4,581 "," 14,099 "," 10,475 "," 6,538 "," 4,289 ", 24 , 16 ," 14,470 "," 10,981 "
 Mariposa ," 1,697 ", 847 ," 1,386 "," 1,039 ", 359 , 334 ," 1,027 ", 763 , 476 , 312 , 2 , 1 ," 1,006 ", 764 
 Mendocino ," 7,944 "," 3,619 "," 5,923 "," 4,443 "," 1,536 "," 1,426 "," 4,389 "," 3,261 "," 2,035 "," 1,335 ", 8 , 6 ," 4,458 "," 3,383 "
 Merced ," 25,392 "," 16,775 "," 27,455 "," 20,592 "," 7,121 "," 6,610 "," 20,346 "," 15,115 "," 9,434 "," 6,189 ", 27 , 18 ," 19,819 "," 15,040 "
 Modoc , 852 , 336 , 550 , 413 , 143 , 132 , 408 , 303 , 189 , 124 , 1 , 1 , 410 , 311 
 Mono ," 1,331 "," 1,353 "," 2,215 "," 1,661 ", 575 , 533 ," 1,641 "," 1,219 ", 761 , 499 , 1 , 1 ," 1,634 "," 1,240 "
 Monterey ," 39,211 "," 23,836 "," 39,012 "," 29,259 "," 10,118 "," 9,392 "," 28,909 "," 21,477 "," 13,405 "," 8,793 ", 41 , 27 ," 28,872 "," 21,909 "
 Napa ," 12,905 "," 8,206 "," 13,431 "," 10,073 "," 3,484 "," 3,234 "," 9,953 "," 7,394 "," 4,615 "," 3,027 ", 14 , 9 ," 9,991 "," 7,582 "
 Nevada ," 8,942 "," 4,522 "," 7,401 "," 5,551 "," 1,920 "," 1,782 "," 5,485 "," 4,075 "," 2,543 "," 1,668 ", 9 , 6 ," 5,507 "," 4,179 "
 Orange ," 284,972 "," 198,145 "," 324,293 "," 243,220 "," 84,111 "," 78,077 "," 240,315 "," 178,535 "," 111,435 "," 73,097 ", 301 , 198 ," 241,764 "," 183,460 "
 Placer ," 34,813 "," 18,046 "," 29,535 "," 22,151 "," 7,660 "," 7,111 "," 21,886 "," 16,260 "," 10,149 "," 6,657 ", 37 , 24 ," 21,499 "," 16,314 "
 Plumas ," 1,694 "," 1,090 "," 1,784 "," 1,338 ", 463 , 429 ," 1,322 ", 982 , 613 , 402 , 2 , 1 ," 1,366 "," 1,037 "
 Riverside ," 217,737 "," 135,994 "," 222,574 "," 166,930 "," 57,728 "," 53,587 "," 164,937 "," 122,535 "," 76,481 "," 50,169 ", 230 , 151 ," 161,327 "," 122,421 "
 Sacramento ," 136,546 "," 79,342 "," 129,855 "," 97,391 "," 33,680 "," 31,264 "," 96,228 "," 71,490 "," 44,621 "," 29,270 ", 144 , 95 ," 95,054 "," 72,131 "
 San Benito ," 5,572 "," 3,658 "," 5,987 "," 4,490 "," 1,553 "," 1,441 "," 4,436 "," 3,296 "," 2,057 "," 1,349 ", 6 , 4 ," 4,315 "," 3,274 "
 San Bernardino ," 195,683 "," 111,097 "," 181,827 "," 136,370 "," 47,160 "," 43,777 "," 134,742 "," 100,102 "," 62,480 "," 40,984 ", 207 , 136 ," 133,202 "," 101,079 "
 San Diego ," 296,608 "," 216,324 "," 354,046 "," 265,535 "," 91,828 "," 85,240 "," 262,364 "," 194,915 "," 121,658 "," 79,803 ", 314 , 206 ," 261,712 "," 198,598 "
 San Francisco ," 78,332 "," 37,120 "," 60,753 "," 45,565 "," 15,757 "," 14,627 "," 45,020 "," 33,447 "," 20,876 "," 13,694 ", 83 , 54 ," 44,562 "," 33,815 "
 San Joaquin ," 67,362 "," 45,329 "," 74,188 "," 55,641 "," 19,242 "," 17,862 "," 54,977 "," 40,843 "," 25,493 "," 16,722 ", 71 , 47 ," 54,049 "," 41,015 "
 San Luis Obispo ," 24,925 "," 16,400 "," 26,840 "," 20,130 "," 6,961 "," 6,462 "," 19,890 "," 14,777 "," 9,223 "," 6,050 ", 26 , 17 ," 19,932 "," 15,126 "
 San Mateo ," 68,280 "," 37,854 "," 61,954 "," 46,466 "," 16,069 "," 14,916 "," 45,911 "," 34,108 "," 21,289 "," 13,965 ", 72 , 47 ," 46,080 "," 34,967 "
 Santa Barbara ," 40,054 "," 24,184 "," 39,580 "," 29,685 "," 10,266 "," 9,529 "," 29,331 "," 21,790 "," 13,601 "," 8,921 ", 42 , 28 ," 29,306 "," 22,239 "
 Santa Clara ," 173,169 "," 87,224 "," 142,755 "," 107,066 "," 37,026 "," 34,370 "," 105,788 "," 78,592 "," 49,054 "," 32,177 ", 183 , 120 ," 105,351 "," 79,945 "
 Santa Cruz ," 24,767 "," 11,701 "," 19,151 "," 14,363 "," 4,967 "," 4,611 "," 14,192 "," 10,543 "," 6,581 "," 4,317 ", 26 , 17 ," 14,271 "," 10,829 "
 Shasta ," 16,477 "," 10,543 "," 17,256 "," 12,942 "," 4,476 "," 4,154 "," 12,787 "," 9,500 "," 5,929 "," 3,889 ", 17 , 11 ," 12,743 "," 9,670 "
 Sierra , 279 , 186 , 304 , 228 , 79 , 73 , 225 , 167 , 104 , 68 , 0 , 0 , 236 , 179 
 Siskiyou ," 4,061 "," 3,680 "," 6,024 "," 4,518 "," 1,562 "," 1,450 "," 4,464 "," 3,316 "," 2,070 "," 1,358 ", 4 , 3 ," 4,530 "," 3,438 "
 Solano ," 39,961 "," 23,223 "," 38,008 "," 28,506 "," 9,858 "," 9,151 "," 28,166 "," 20,925 "," 13,060 "," 8,567 ", 42 , 28 ," 27,880 "," 21,156 "
 Sonoma ," 46,008 "," 22,480 "," 36,791 "," 27,594 "," 9,542 "," 8,858 "," 27,264 "," 20,255 "," 12,642 "," 8,293 ", 49 , 32 ," 27,113 "," 20,574 "
 Stanislaus ," 50,417 "," 17,239 "," 28,215 "," 21,161 "," 7,318 "," 6,793 "," 20,908 "," 15,533 "," 9,695 "," 6,360 ", 53 , 35 ," 20,471 "," 15,534 "
 Sutter ," 9,235 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , 6 , -   , -   
 Tehama ," 5,917 "," 3,223 "," 5,275 "," 3,956 "," 1,368 "," 1,314 "," 3,909 "," 2,904 "," 1,812 "," 1,189 ", 6 , 4 ," 3,921 "," 2,976 "
 Trinity ," 1,251 ", 494 , 808 , 606 , 210 , 248 , 599 , 445 , 278 , 182 , 1 , 1 , 602 , 457 
 Tulare ," 43,806 ", 312 , 511 , 383 , 133 ," 9,340 ", 379 , 281 , 176 , 115 , 46 , 30 , 370 , 281 
 Tuolumne ," 4,920 "," 2,301 "," 3,767 "," 2,825 ", 977 , 960 ," 2,791 "," 2,074 "," 1,294 ", 849 , 5 , 3 ," 2,817 "," 2,138 "
 Ventura ," 76,982 "," 54,564 "," 89,301 "," 66,976 "," 23,162 "," 22,202 "," 66,176 "," 49,164 "," 30,686 "," 20,129 ", 81 , 53 ," 66,514 "," 50,474 "
 Yolo ," 19,279 "," 11,991 "," 19,625 "," 14,719 "," 5,090 "," 4,546 "," 14,543 "," 10,804 "," 6,744 "," 4,424 ", 20 , 13 ," 14,438 "," 10,956 "
 Yuba ," 7,158 "," 9,875 "," 16,161 "," 12,121 "," 4,192 "," 3,554 "," 11,976 "," 8,897 "," 5,553 "," 3,643 ", 8 , 5 ," 11,558 "," 8,770 "
 STATE TOTAL ," 3,569,061 "," 2,137,248 "," 3,497,922 "," 2,623,441 "," 907,247 "," 851,715 "," 2,592,114 "," 1,925,731 "," 1,201,966 "," 788,445 "," 3,773 "," 2,475 "," 2,579,269 "," 1,957,251 "
"
",,,,,,,,,,,,,,
